model_type,feature_type,cluster,MSE,MAE,e_type
    LR,composition,0,133.46,3.77,electronic
    DT,composition,0,190.48,2.72,electronic
    RF,composition,0,117.65,2.40,electronic
    NN,composition,0,111.36,2.08,electronic
    LR,physical,0,127.57,3.67,electronic
    DT,physical,0,178.28,2.36,electronic
    RF,physical,0,105.00,1.94,electronic
    NN,physical,0,173.66,2.83,electronic
LR,composition,1,3.8486e+20,437036733.32,electronic
DT,composition,1,9180.8,6.24,electronic
RF,composition,1,8733.67,6.04,electronic
NN,composition,1,290842.07,18.57,electronic
    LR,physical,1,110.27,2.55,electronic
    DT,physical,1,175.61,2.37,electronic
    RF,physical,1,93.31,2.02,electronic
NN,physical,1,154.96,7.05,electronic
    LR,composition,0,2625.26,12.86,ionic
    DT,composition,0,2494.52,10.50,ionic
    RF,composition,0,2377.63,10.53,ionic
    NN,composition,0,2831.23,10.83,ionic
    LR,physical,0,2638.27,12.28,ionic
    DT,physical,0,3111.73,11.65,ionic
    RF,physical,0,2744.29,11.21,ionic
    NN,physical,0,2576.11.75,ionic
LR,composition,1,1.2176976331739198e+20,245832960.54,ionic
DT,composition,1,5745.45,15.03,ionic
RF,composition,1,1434.16,11.74,ionic
NN,composition,1,18325.56,16.81,ionic
LR,physical,1,171.67,6.79,ionic
DT,physical,1,199.7,6.79,ionic
RF,physical,1,161.6,6.28,ionic
NN,physical,1,139.22,6.74,ionic
    LR,composition,0,2811.95,14.57,total
    DT,composition,0,4455.99,14.10,total
    RF,composition,0,2537.26,12.28,total
    NN,composition,0,2739.06,11.78,total
    LR,physical,0,2810.30,13.97,total
    DT,physical,0,3370.80,13.32,total
    RF,physical,0,2814.30,12.63,total
    NN,physical,0,2670.15,13.54,total
LR,composition,1,9.395990455942286e+20,682869600.84,total
DT,composition,1,11987.71,17.33,total
RF,composition,1,10769.1,16.76,total
NN,composition,1,10828443.15,95.04,total
LR,physical,1,242.01,8.14,total
DT,physical,1,288.98,8.14,total
RF,physical,1,219.34,7.44,total
NN,physical,1,273.29,10.58,total
